registro_id,uf,sindicato,categoria,ano,campo,valor_atual,status_atual,origem,fonte,fonte_textual,data_extracao,observacao,opcoes_identificadas,prioridade_revisao,acao_sugerida,decisao_sugerida,decisao_final,valor_revisado,observacao_revisor,revisor,data_revisao
REG-AL-SINTEEL-2023,AL,Sinteel AL,Energia e Telecomunicações,2023,plr,,extraido_para_revisao,pdf_cct,PDF da CCT,CLÁUSULA DÉCIMA SEGUNDA - PROGRAMA DE PARTICIPAÇÃO NOS LUCROS OU RESULTADOS VIGÊNCIA DA CLÁUSULA: 01/01/2023 a 31/12/2023 As EMPRESAS iniciarão a negociação do PPR/PLR/2023 com o SINTTEL-AL em até de 60 (sessenta) dias após a assinatura da presente Convenção Coletiva de Trabalho. AUXÍLIO ALIMENTAÇÃO,2026-06-15,Cláusula de PLR encontrada; valor/regra específica requer revisão,,média,validar,validar,validar,,,,
REG-AL-SINTEEL-2023,AL,Sinteel AL,Energia e Telecomunicações,2023,hora_extra,,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA - HORAS EXTRAORDINÁRIAS As horas extraordinárias trabalhadas de segunda a sábado, serão remuneradas com o adicional de 50% (cinquenta por cento) sobre o valor da hora normal. www3.mte.gov.br/sistemas/mediador/Resumo/ResumoVisualizar?NrSolicitacao=MR036147/2023 3/25 06/06/2024, 15:12 Mediador - Extrato Convenção Coletiva Parágrafo Primeiro: Na hipótese de ocorrer trabalho em dia de repouso, feriados ou domingos, a remuneração será acrescida com o adicional de 100% (cem por cento). Parágrafo Segundo: As horas extras habituais serão integradas para fins de cálculo de férias, 13º s…",2026-06-15,"Percentuais diferentes para dias úteis, sábados, domingos e feriados",,média,validar,validar,validar,,,,
REG-AL-SINTEEL-2023,AL,Sinteel AL,Energia e Telecomunicações,2023,sobreaviso,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de sobreaviso não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AL-SINTEEL-2023,AL,Sinteel AL,Energia e Telecomunicações,2023,jornada,36.0,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA QUADRAGÉSIMA SEGUNDA - JORNADA DE TRABALHO A duração da jornada de trabalho dos trabalhadores operadores em Teleatendimento, em regime de escala de revezamento, cuja implementação a critério da empresa fica autorizada, será de 36 (trinta e seis) horas semanais, sendo de seis horas diárias, cumprindo integralmente as determinações contidas no anexo II da NR17. Parágrafo Primeiro: Os trabalhadores operadores terão uma folga semanal, sendo essa folga, pelo menos uma vez por mês, concedida aos domingos. Parágrafo Segundo: As partes dão-se por cientes de que está autorizado o trabalho aos …",2026-06-15,Horas diárias não calculadas: regime não identificável,"[""36h/semana""]",média,validar,validar,validar,36.0,,,
REG-AM-SINDPD-2025,AM,Sindpd AM,Tecnologia da Informação,2025,piso_salarial,1479.21,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA TERCEIRA - PISO SALARIAL A partir de 01/05/2024 nenhum trabalhador poderá ser admitido, ou continuar trabalhando com salário inferior às faixas abaixo: a) Aplicável exclusivamente Técnico de atendimento, Auxiliar de Processamento o valor deR$1.479,21 (Um mil, quatrocentos e setenta e nove reais e vinte e um centavos); b). Aplicável exclusivamente ao Técnico de Suporte o valor correspondente a R$ 1.487,48(Um mil, quatrocentos e oitenta e sete reais e quarenta e oito centavos);c). Aplicável exclusivamente ao Analista de Suporte o valor correspondente a R$ 2.434,07 (Dois mil, quatrocento…",2026-06-15,,,média,validar,validar,validar,1479.21,,,
REG-AM-SINDPD-2025,AM,Sindpd AM,Tecnologia da Informação,2025,adicional_noturno,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de adicional noturno não localizada no PDF,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AM-SINDPD-2025,AM,Sindpd AM,Tecnologia da Informação,2025,auxilio_alimentacao,27.0,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA SÉTIMA - AUXÍLIO ALIMENTAÇÃO O empregador pagará a partir de 01/01/2025, aos seus empregados, até o 1º (primeiro) dia útil de cada mês, a título de auxílio alimentação o valor facial de R$ 27,00 (vinte e sete reais) por dia útil trabalhado atendendo os requisitos do Programa de Alimentação do Trabalhador - PAT e do Ministério do Trabalho. § PRIMEIRO: O benefício que trata a presente Cláusula não integra a remuneração para nenhum efeito legal, sendo permitido o desconto mensal máximo de 5% (cinco por cento) sobre o valor total dos vales fornecidos, nos termos da legislação do PAT (Prog…",2026-06-15,,,média,validar,validar,validar,27.0,,,
REG-AM-SINDPD-2025,AM,Sindpd AM,Tecnologia da Informação,2025,plr,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de PLR não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AM-SINDPD-2025,AM,Sindpd AM,Tecnologia da Informação,2025,hora_extra,,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA SEXTA - HORA EXTRA As horas extras serão remuneradas com acréscimo de 50% (cinquenta por cento, de segunda a sexta e 70% (setenta por cento) aos sábados. § PRIMEIRO: As horas extras nos domingos e feriados serão remuneradas com acréscimo de 100% (cem por cento). § SEGUNDO: Somente as horas extras autorizadas pelo superior imediato serão consideradas, caso contrário, tornar- se-á sem efeito para registro e/ou lançamento no Banco de Horas do empregado. AUXÍLIO ALIMENTAÇÃO",2026-06-15,"Percentuais diferentes para dias úteis, sábados, domingos e feriados",,média,validar,validar,validar,,,,
REG-AM-SINDPD-2025,AM,Sindpd AM,Tecnologia da Informação,2025,sobreaviso,,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA SEXTA - ADICIONAL DE SOBREAVISO O empregado designado, formalmente para escala de sobreaviso, será remunerado à razão de 1/3 do salário normal. § UNICO: A partir do momento em que o empregado for convocado para atender a empresa, o sobreaviso cessará, passando a fazer jus tão somente às horas extraordinárias efetivamente trabalhadas. OUTRAS DISPOSIÇÕES SOBRE JORNADA",2026-06-15,,,média,validar,validar,validar,,,,
REG-AM-SINDPD-2025,AM,Sindpd AM,Tecnologia da Informação,2025,jornada,,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA TERCEIRA - FLEXIBILIZAÇÃO E COMPENSAÇÃO DA JORNADA DE TRABALHO (BANCO DE HORAS) Fica acordado flexibilização de jornada (Banco de Horas), em conformidade com as disposições dos artigos 7º, inciso XIII da Constituição Federal, e artigo 59 da CLT, já com alteração prevista na Lei 9.601/98, permitindo-se o horário flexível compreendido entre 7 horas e 19 horas, obedecendo aos critérios nos itens a seguir: A. Para o funcionamento desse Banco de Horas será considerada como horas de crédito a quantidade de horas que o EMPREGADO trabalhou mais do que sua jornada normal de trabalho e n…",2026-06-15,Cláusula de jornada encontrada; carga horária requer revisão,,média,validar,validar,validar,,,,
REG-AP-SINDPD-2025,AP,Sindpd AP,Tecnologia da Informação,2025,piso_salarial,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AP-SINDPD-2025,AP,Sindpd AP,Tecnologia da Informação,2025,adicional_noturno,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AP-SINDPD-2025,AP,Sindpd AP,Tecnologia da Informação,2025,auxilio_alimentacao,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AP-SINDPD-2025,AP,Sindpd AP,Tecnologia da Informação,2025,plr,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AP-SINDPD-2025,AP,Sindpd AP,Tecnologia da Informação,2025,hora_extra,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AP-SINDPD-2025,AP,Sindpd AP,Tecnologia da Informação,2025,sobreaviso,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-AP-SINDPD-2025,AP,Sindpd AP,Tecnologia da Informação,2025,jornada,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDPEC-2025,BA,SINDPEC BA,Processamento Eletrônico de Dados,2025,piso_salarial,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDPEC-2025,BA,SINDPEC BA,Processamento Eletrônico de Dados,2025,adicional_noturno,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDPEC-2025,BA,SINDPEC BA,Processamento Eletrônico de Dados,2025,auxilio_alimentacao,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDPEC-2025,BA,SINDPEC BA,Processamento Eletrônico de Dados,2025,plr,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDPEC-2025,BA,SINDPEC BA,Processamento Eletrônico de Dados,2025,hora_extra,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDPEC-2025,BA,SINDPEC BA,Processamento Eletrônico de Dados,2025,sobreaviso,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDPEC-2025,BA,SINDPEC BA,Processamento Eletrônico de Dados,2025,jornada,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDADOS-2025,BA,Sindados BA,Operadores de Dados,2025,piso_salarial,1592.43,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA TERCEIRA - PISO SALARIAL VIGÊNCIA DA CLÁUSULA: 01/05/2025 a 30/04/2026 Fica assegurado aos trabalhadores abrangidos por esta Convenção Coletiva de trabalho, o piso mínimo inicial normativo, que obedecerá aos seguintes critérios: a) Aos trabalhadores com jornada de trabalho de 36 (trinta e seis) horas semanais, fica fixado o piso mínimo de R$ 1.592,43 (um mil, quinhentos e noventa e dois reais e quarenta e três centavos); b) Aos trabalhadores com jornada de trabalho de 44(quarenta e quatro) horas semanais, fica fixado o piso mínimo de R$ 1.636,82 (um mil, seiscentos e trinta e seis rea…",2026-06-15,,,média,validar,validar,validar,1592.43,,,
REG-BA-SINDADOS-2025,BA,Sindados BA,Operadores de Dados,2025,adicional_noturno,,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA VIGÉSIMA QUINTA - ADICIONAL NOTURNO As empresas pagarão sobre as horas trabalhadas entre 22h e 06h, 20% (vinte por cento) de adicional noturno.",2026-06-15,,,média,validar,validar,validar,,,,
REG-BA-SINDADOS-2025,BA,Sindados BA,Operadores de Dados,2025,auxilio_alimentacao,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de auxílio alimentação não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDADOS-2025,BA,Sindados BA,Operadores de Dados,2025,plr,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de PLR não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDADOS-2025,BA,Sindados BA,Operadores de Dados,2025,hora_extra,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de hora extra não localizada no PDF,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDADOS-2025,BA,Sindados BA,Operadores de Dados,2025,sobreaviso,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de sobreaviso não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINDADOS-2025,BA,Sindados BA,Operadores de Dados,2025,jornada,36.0,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA VIGÉSIMA QUARTA - JORNADA DE TRABALHO E INTERVALO INTRAJORNADA Fica fixada a jornada de trabalho de 36 (trinta e seis) horas semanais, aplicável às funções de Operador Help Desk e Operador de Telemarketing e/ou Atividades de Tele-Suporte e/ou Tele- Serviços. Parágrafo Primeiro: A jornada de trabalho de 36 (trinta e seis) horas semanais, aplicável às funções de Digitador, Conferente, Auxiliar de Processamento, Auxiliar de Caixa Rápido, Digitalização, aplicável exclusivamente ao Analista 01, contrato Helpdesk – BA – CEF. Parágrafo Segundo: Os demais trabalhadores praticarão a jornada de…",2026-06-15,"Múltiplas jornadas identificadas: 36.0, 44.0h/sem; Horas diárias não calculadas: regime 12×36 não permite cálculo direto","[""36h/semana"", ""44h/semana""]",média,validar,validar,validar,36.0,,,
REG-BA-SINTTEL-2025,BA,Sinttel BA,Telecomunicações,2025,piso_salarial,1518.0,conflito,pdf_cct,PDF da CCT,"CLÁUSULA TERCEIRA - PISO SALARIAL O piso salarial dos empregados sujeitos a jornada de trabalho de 180 horas, será de R$1.518,00 (mil, quinhentos e dezoito reais) a partir de 01/05/2025. Parágrafo Primeiro: Para jornadas de trabalho inferiores a 180 horas o salário poderá ser proporcional ao piso acima definido. Parágrafo Segundo: Será concedido um abono único e indenizatório no valor de R$424,00 (quatrocentos e vinte e quatro reais)para os empregados com jornada de trabalho de 180 horas e de R$353,00 (trezentos e cinquenta e três reais) para os empregados com jornada de trabalho de 150 horas,…",2026-06-15,"Múltiplos valores identificados: 1518.0, 424.0, 353.0",,alta,revisar_conflito,marcar_conflito,marcar_conflito,1518.0,,,
REG-BA-SINTTEL-2025,BA,Sinttel BA,Telecomunicações,2025,adicional_noturno,,conflito,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA - HORA NOTURNA O trabalho noturno será remunerado com acréscimo de 20% (vinte por cento), entendendo-se como tal o trabalho realizado das 22:00 horas de um dia até as 5:00 horas do dia seguinte, computando-se, para tanto, a hora de trabalho a cada 52:30 minutos, nos termo do artigo 73 da CLT. Parágrafo Único: No caso de não haver redução de jornada, o empregado receberá as horas trabalhadas em horas noturnas com o adicional de 37,14% (trinta e sete vírgula quatorze por cento), já inserida neste adicional a remuneração extraordinária decorrente da não redução da jornada noturna.…",2026-06-15,"Múltiplos valores identificados: 37.14, 20.0",,alta,revisar_conflito,marcar_conflito,marcar_conflito,,,,
REG-BA-SINTTEL-2025,BA,Sinttel BA,Telecomunicações,2025,auxilio_alimentacao,7.76,conflito,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA QUARTA - AUXÍLIO LANCHE / VALE REFEIÇÃO / CESTA BÁSICA As empresas fornecerão vale refeição aos trabalhadores que estiverem no exercício de suas atividades regulares, nos seguintes termos: a) Vale refeição no valor de R$7,76 (sete reais e setenta e seis centavos) por dia efetivamente trabalhado, passando para R$7,92 (sete reais e noventa e dois centavos) a partir de 01/05/2025, passando para R$8,07 (oito reais e sete centavos) a partir de 01/10/2025, aos trabalhadores contratados com jornada de até 180 horas mensais. b) Vale refeição no valor de R$20,36 (vinte reais e trinta e …",2026-06-15,"Múltiplos valores identificados: 7.76, 7.92, 8.07, 20.36, 20.77, 21.17",,alta,revisar_conflito,marcar_conflito,marcar_conflito,7.76,,,
REG-BA-SINTTEL-2025,BA,Sinttel BA,Telecomunicações,2025,plr,,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA DÉCIMA TERCEIRA - PROGRAMA DE PARTICIPAÇÃO NOS LUCROS OU RESULTADOS (PLR/PPR) Para as empresas que não firmaram Acordo específico de PPR/PLR 2024, será concedido aos trabalhadores elegíveis, participação nos lucros ou resultados de 10% do salário base referência 31/12/2024, proporcional ao tempo de trabalho, devendo ser pago em parcela única em até 15 dias do registro do presente instrumento, para os trabalhadores até os níveis abaixo de diretores, superintendentes, gerentes e coordenadores, devendo ser respeitada a política interna e nomenclatura de cargo de cada empresa, conforme mé…",2026-06-15,,,média,validar,validar,validar,,,,
REG-BA-SINTTEL-2025,BA,Sinttel BA,Telecomunicações,2025,hora_extra,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de hora extra não localizada no PDF,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINTTEL-2025,BA,Sinttel BA,Telecomunicações,2025,sobreaviso,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Cláusula de sobreaviso não localizada no PDF,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-BA-SINTTEL-2025,BA,Sinttel BA,Telecomunicações,2025,jornada,36.0,extraido_para_revisao,pdf_cct,PDF da CCT,"CLÁUSULA QUADRAGÉSIMA SEGUNDA - JORNADA DE TRABALHO A duração da jornada de trabalho dos trabalhadores operadores em Teleatendimento, em regime de escala de revezamento, cuja implementação a critério da empresa fica autorizada, será de 36 (trinta e seis) horas semanais, sendo de seis horas diárias. Parágrafo Primeiro: Os trabalhadores operadores terão uma folga semanal, sendo essa folga, pelo menos uma vez por mês, concedida aos domingos. Parágrafo Segundo: As partes dão-se por cientes de que está autorizado o trabalho aos domingos, nos termos do parágrafo único do artigo 67 da CLT, observada …",2026-06-15,Horas diárias não calculadas: regime não identificável,"[""36h/semana""]",média,validar,validar,validar,36.0,,,
REG-CE-SINDPD-2024,CE,Sindpd CE,Tecnologia da Informação,2024,piso_salarial,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-CE-SINDPD-2024,CE,Sindpd CE,Tecnologia da Informação,2024,adicional_noturno,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,alta,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-CE-SINDPD-2024,CE,Sindpd CE,Tecnologia da Informação,2024,auxilio_alimentacao,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
REG-CE-SINDPD-2024,CE,Sindpd CE,Tecnologia da Informação,2024,plr,,pendente_revisao,nao_identificado_pdf,,,2026-06-15,Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: erro_pdftotext. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto. Extração de PDF falhou: pdf_sem_texto,,baixa,buscar_fonte,buscar_fonte,buscar_fonte,,,,
